review_status,slug,title,published_at,published_date_label,publication,section,rights_status,original_url,embedded_url_candidates,review_note
missing_original_url,folder-article-e28e19c4,পশু প্রেম ও মানবিকতা,2020-01-01,২০২০ (তারিখ অনির্দিষ্ট),সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-3f92a009,বউ পিটানোর অধিকার,2020-01-01,২০২০ (তারিখ অনির্দিষ্ট),সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-280c447c,ভাস্কর রাশার মুজিববর্ষ,2020-01-01,২০২০ (তারিখ অনির্দিষ্ট),সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-bf3a9859,মানুষ বাঁচে মানুষের জন্য,2020-01-01,২০২০ (তারিখ অনির্দিষ্ট),সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-2fbff951,"রশীদ হায়দার-‘তিনি, একজনই’",2020-01-01,২০২০ (তারিখ অনির্দিষ্ট),সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-0c78456b,সমর বিশারদ সোলেইমানি,2020-01-01,২০২০ (তারিখ অনির্দিষ্ট),সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-1c7be529,ভারতের সাম্প্রদায়িক পদক্ষেপ,2019-12-29,২৯ ডিসেম্বর ২০১৯,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-fac7adb8,অঙ্গ-প্রত্যঙ্গ সংযোজনে ধর্ম,2019-12-22,২২ ডিসেম্বর ২০১৯,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-8fc3543f,অঙ্গ-প্রত্যঙ্গ সংযোজনে আইন,2019-12-15,১৫ ডিসেম্বর ২০১৯,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-89872d0c,সড়ক দুর্ঘটনা ও নতুন আইন,2019-12-08,৮ ডিসেম্বর ২০১৯,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-43b64874,জন্মদিন উদযাপনে ‘জলতরঙ্গ’,2019-12-01,১ ডিসেম্বর ২০১৯,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-f7949952,পিয়াজের ঝাঁজ,2019-11-24,২৪ নভেম্বর ২০১৯,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-4d829555,দুঃখ প্রকাশ ও বক্তব্য প্রত্যাহার,2019-11-17,১৭ নভেম্বর ২০১৯,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-article-2a1d9051,অনুভূতির খেসারত,2019-11-10,১০ নভেম্বর ২০১৯,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-2-110d2050,আবরারের মৃত্যু এবং ছাত্র রাজনীতি(2),2019-11-03,৩ নভেম্বর ২০১৯,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-1-2638484b,আবরারের মৃত্যু এবং ছাত্র রাজনীতি(1),2019-10-27,২৭ অক্টোবর ২০১৯,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-2-7373ac95,জুয়ার আসর ক্যাসিনো(2),2019-10-14,১৪ অক্টোবর ২০১৯,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-1-733994df,জুয়ার আসর ক্যাসিনো(1),2019-10-06,৬ অক্টোবর ২০১৯,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-2-8776c5c0,তাজিয়া মিছিলে পদদলন(2),2019-09-29,২৯ সেপ্টেম্বর ২০১৯,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-1-9ed388b7,তাজিয়া মিছিলে পদদলন(1),2019-09-22,২২ সেপ্টেম্বর ২০১৯,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-2-309a0735,আসাম  কামরূপ কামাখ্যা(2),2019-09-15,১৫ সেপ্টেম্বর ২০১৯,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
missing_original_url,folder-1-5f6be45c,আসাম  কামরূপ কামাখ্যা(1),2019-09-08,৮ সেপ্টেম্বর ২০১৯,সংবাদ,মতামত,full_text_permitted,,,Original publication URL is not present in the archive record; investigate separately.
